Number_id;Brand_id;Brand;Names;RatedPower;Rotor Diameter;Type;Offshore?;Webpage
1;1;Acciona;'Acciona AW 70/1500 Class I';1500;70;2;0;http://www.acciona-windpower.es/productos-y-servicios/
2;1;Acciona;'Acciona AW 70/1500 Class II';1500;70;2;0;http://www.acciona-windpower.es/productos-y-servicios/
3;1;Acciona;'Acciona AW 77/1500 Class II';1500;77;2;0;http://www.acciona-windpower.es/productos-y-servicios/
4;1;Acciona;'Acciona AW 77/1500 Class III';1500;77;2;0;http://www.acciona-windpower.es/productos-y-servicios/
5;1;Acciona;'Acciona AW 82/1500 Class IIIb';1500;82;2;0;http://www.acciona-windpower.es/productos-y-servicios/
6;2;Aeronautica;'Aeronautica 29-225';225;29;1;0;http://www.aeronauticawind.com/
7;2;Aeronautica;'Aeronautica 47-750';750;47;1;0;http://www.aeronauticawind.com/
8;2;Aeronautica;'Aeronautica 54-750';750;54;1;0;http://www.aeronauticawind.com/
9;3;Alstom;'Alstom ECO 100/3000 Class I';3000;100;3;0;http://www.alstom.com/products-services/
10;3;Alstom;'Alstom ECO 110/3000 Class II';3000;110;3;0;http://www.alstom.com/products-services/
11;3;Alstom;'Alstom ECO 122/2700 Class III';2700;122;3;0;http://www.alstom.com/products-services/
12;3;Alstom;'Alstom ECO 122/3000 Class III';3000;122;3;0;http://www.alstom.com/products-services/
13;3;Alstom;'Alstom ECO 74/1670 Class II';1670;74;3;0;http://www.alstom.com/products-services/
14;3;Alstom;'Alstom ECO 80/1670 Class II';1670;80;3;0;http://www.alstom.com/products-services/
15;3;Alstom;'Alstom ECO 80/1670 Class III';1670;80;3;0;http://www.alstom.com/products-services/
16;3;Alstom;'Alstom ECO 80/2000 Class II';2000;80;3;0;http://www.alstom.com/products-services/
17;3;Alstom;'Alstom ECO 86/1670 Class III';1670;85.5;3;0;http://www.alstom.com/products-services/
18;4;AREVA;'AREVA Wind M5000-116';5000;116;4;1;http://www.areva.com/EN/operations-3591/areva-wind-energy-solutions.html
19;5;Avantis;'Avantis AV 1010-2.3 MW';2300;101;4;0;http://www.avantis-energy.com/13.html
20;5;Avantis;'Avantis AV 928-2.5 MW';2500;93.2;4;0;http://www.avantis-energy.com/13.html
21;6;Bergey;'Bergey Excel-R';7.5;6.7;5;0;http://bergey.com/
22;6;Bergey;'Bergey Excel-S';10;6.7;5;0;http://bergey.com/
23;6;Bergey;'Bergey XL.1';1;2.5;5;0;http://bergey.com/
24;7;BHD;'BHD FL-500';1000;55;2;0;http://bergey.com/
25;8;Condor;'Condor 5';6100;120;4;0;http://bergey.com/
26;9;DeWind;'DeWind D8.1';2000;80;3;0;http://www.dewindco.com/eng/
27;9;;'DeWind D8.2';2000;80;3;0;http://www.dewindco.com/eng/
28;9;;'DeWind D9.0';2000;93;3;0;http://www.dewindco.com/eng/
29;9;;'DeWind D9.1';2000;93;3;0;http://www.dewindco.com/eng/
30;9;;'DeWind D9.2';2000;93;3;0;http://www.dewindco.com/eng/
31;9;;'DeWind D6 62 m';2000;62;3;0;http://www.dewindco.com/eng/
32;9;;'DeWind D6 64 m';2000;64;3;0;http://www.dewindco.com/eng/
33;10;Dongfang;'Dongfang DF100-2500';2500;100;3;0;http://www.dongfang.com.cn/
34;10;;'Dongfang DF110-2500';2500;110;3;0;http://www.dongfang.com.cn/
35;10;;'Dongfang DF70-1500';1500;70;3;0;http://www.dongfang.com.cn/
36;10;;'Dongfang DF77-1500';1500;77;3;0;http://www.dongfang.com.cn/
37;10;;'Dongfang DF82-1500';1500;82;3;0;http://www.dongfang.com.cn/
38;11;;'Doosan WinDS3000';3000;91.3;3;0;http://www.dongfang.com.cn/
39;12;;'Enair 160';7.5;6.1;5;0;http://www.enair.es/
40;12;;'Enair 70';3.5;4.1;5;0;http://www.enair.es/
41;13;;'Endurance E-3120';55;19.2;2;0;http://www.cleanenergyprojectbuilder.org/company/endurance-wind-power
42;13;;'Endurance G-3120';35;19.2;2;0;http://www.cleanenergyprojectbuilder.org/company/endurance-wind-power
43;13;;'Endurance S-250';5;5.5;1;0;http://www.cleanenergyprojectbuilder.org/company/endurance-wind-power
44;14;;'Enercon E-101 / 3,050 kW';3050;101;4;0;http://www.enercon.de/en/home/
45;14;;'Enercon E-115 / 2,500 kW';2500;115;4;0;http://www.enercon.de/en/home/
46;14;;'Enercon E-126 / 7,580 kW';7500;127;4;0;http://www.enercon.de/en/home/
47;14;;'Enercon E-33 / 330 kW';330;33.4;2;0;http://www.enercon.de/en/home/
48;14;;'Enercon E-44 / 900 kW';900;44;2;0;http://www.enercon.de/en/home/
49;14;;'Enercon E-48 / 800 kW';810;48;2;0;http://www.enercon.de/en/home/
50;14;;'Enercon E-53 / 800 kW';810;52.9;2;0;http://www.enercon.de/en/home/
51;14;;'Enercon E-70 / 2.300 kW';2300;71;2;0;http://www.enercon.de/en/home/
52;14;;'Enercon E-82 E2 / 2,000 kW';2000;82;2;0;http://www.enercon.de/en/home/
53;14;;'Enercon E-82 E2 / 2,300 kW';2300;82;2;0;http://www.enercon.de/en/home/
54;14;;'Enercon E-82 E3 / 3,000 kW';3000;82;2;0;http://www.enercon.de/en/home/
55;14;;'Enercon E-82 E4 / 3,000 kW';3000;82;2;0;http://www.enercon.de/en/home/
56;14;;'Enercon E-92 / 2,350 kW';2350;92;2;0;http://www.enercon.de/en/home/
57;15;;'Eocycle EO 25/12';25;11.7;5;0;http://www.enercon.de/en/home/
58;16;;'Evance R9000';5;5.4;5;0;http://www.enercon.de/en/home/
59;17;;'EWT DW52-500';500;52;2;0;http://www.ewtdirectwind.com/
60;17;;'EWT DW52-900';900;52;2;0;http://www.ewtdirectwind.com/
61;17;;'EWT DW54-500';500;54;2;0;http://www.ewtdirectwind.com/
62;17;;'EWT DW54-900';900;54;2;0;http://www.ewtdirectwind.com/
63;18;;'Fuhrländer FL 1500 77m';1500;77;3;0;
64;19;;'Gamesa G114-2.0 MW';2000;114;3;0;http://www.gamesacorp.com/en/products-and-services/wind-turbines/
65;19;;'Gamesa G114-2.5 MW';2500;114;3;0;http://www.gamesacorp.com/en/products-and-services/wind-turbines/
