brandID;manufacturerName;;
1;Acciona;;
2;Aeronautica;;
3;Alstom ;;
4;AREVA;;
5;Avantis;;
6;Bergey;;
7;BHD;;
8;Condor;;
9;DeWind ;;
10;Dongfang ;;
11;Doosan;;
12; Enair ;;
13;Endurance;; 
14;Enercon;;
15;Eocycle ;;
16;Evance ;;
17;EWT ;;
18;Fuhrländer ;;
19;Gamesa ;;
20;General Electric;;
21;Goldwind;;
22;Hanjin;;
23;Hyosung ;;
24;Hyundai ;;
25;IMPSA ;;
26;Inox ;;
27;Lagerwey ;;
28;Leitwind ;;
29;Mervento ;;
30;Mistubishi ;;
31;MTorres ;;
32;MY ;;
33;NGPS ;;
34;Nordex ;;
35;Northern Power ;;
36;PowerWorks ;;
37;Proven ;;
38;Raum ;;
39;Repower;;
40;RRB Energy;;
41;Samsung;;
42;Seaforth ;;
43;Siemens ;;
44;Sinovel ;;
45;Southwest ;;
46;STX;;
47;Subaru ;;
48;Suzlon;;
49;Unison ;;
50;Vensys ;;
51;Vergnet ;;
52;Vestas ;;
53;Wind Matic ;;
54;Wind to Energy ;;
55;Windflow ;;
56;Windtec ;;
57;WinWinD ;;
58;XEMC Darwind;;
